"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-01","0.00","3.1","19","25","7"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-02","0.04","4.7","22",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-03","0.02","4.7","17",,"3"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-04","0.00","4.3","24","30","17"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-05","0.00","2.8","25","29","19"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-06","0.87","15.0","22","24","20"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-07","0.21","16.5","22",,"20"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-08","0.11","17.7","16","24","8"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-09","0.04","17.3","17",,"9"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-10","0.00","16.5","25","27","22"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-11","0.00","15.7","24",,"20"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-12","0.00","15.4","25",,"20"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-13","0.00","15.4","30",,"27"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-14","0.00","15.0","31",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-15","0.00","9.8","31","32","24"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-16","0.00","9.4","31","32","30"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-17","0.00","9.1","30",,
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-18","0.00","8.7","30","31",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-19","0.00","8.7","32",,"29"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-20","0.00","8.7","31",,"29"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-21","0.00","8.7","31","33",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-22","0.00","8.7","31","32","24"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-23","0.00","7.9","30","32",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-24","0.00","7.5","26","30",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-25","0.00","7.1","20","29",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-26","0.00","7.1","15","23",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-27","0.02","7.5","34","40","18"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-28","0.04",,"32","40",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-29","0.00","5.9","22","29","16"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-30","0.00","5.9","17","23","9"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-01-31","0.01","5.9","26","31","16"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-01","0.16","7.5","22","30",
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-02","0.08","9.1","31","35","12"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-03","0.13","10.2","30",,"28"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-04","0.06","11.0","26",,"15"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-05","0.00","10.2","33",,"29"
"DAM00006030","FLYVESTATION AALBORG, DA","2010-02-06","0.00","9.1","31","34",
